ID,IDstudy,plotID,country,region,climate,bedrock,soil_type,temperature,precipitation_mm,Latitud,Longitud,year_measure,TYPE_CHANGE,years_since_luc,CROP_current,CROP_type,land_use,N_measured,soil_from_cm,soil_to_cm,depth_midpoint,bulk_density_Mg_m3,%clay,%silt,%sand,ph,SOC_Mg_ha,Period,delta_SOC_Mgha,%delta_SOC,csp_rank,csp_change,luc_rank
653,63,229,Spain,Campo_Real,Mediterranean,,Calcic_Haploxeralf,14.0,400.0,40.35,-3.366,,LUC,1.6,Vineyard,woody,perennial_woody,1.0,0.0,10.0,5.0,1.2,24.0,41.0,58.0,,12.6,1,0.8399999999999999,7.142857142857142,2.0,1.0,4.0
654,63,230,Spain,Campo_Real,Mediterranean,,Calcic_Haploxeralf,14.0,400.0,40.35,-3.366,,LUC,1.6,Vineyard,woody,perennial_woody,1.0,0.0,10.0,5.0,1.2,24.0,41.0,58.0,,12.48,1,0.7200000000000006,6.122448979591842,2.0,1.0,4.0
678,75,252,Brazil,Ipaussu,Tropical,,Clayey,20.0,1351.0,-23.0553,-49.6237,,LUC,15.5,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,70.85,1,-18.55000000000001,-20.74944071588368,2.0,-1.0,2.0
681,75,253,Brazil,Ipaussu,Tropical,,Clayey,20.0,1351.0,-23.0553,-49.6237,,LUC,9.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,77.9,1,2.25,2.974223397224058,2.0,-1.0,2.0
684,75,254,Brazil,Ipaussu,Tropical,,Clayey,20.0,1351.0,-23.0553,-49.6237,,LUC,7.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,75.25,1,-0.4000000000000057,-0.5287508261731734,2.0,-1.0,2.0
687,75,255,Brazil,Anhembi,Tropical,,Sandy,21.0,1232.0,-22.7883,-48.1312,,LUC,6.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,46.0,1,-9.450000000000003,-17.042380522993692,2.0,-1.0,2.0
690,75,256,Brazil,Anhembi,Tropical,,Sandy,21.0,1232.0,-22.7883,-48.1312,,LUC,11.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,30.05,1,-25.400000000000002,-45.807033363390445,2.0,-1.0,2.0
693,75,257,Brazil,Anhembi,Tropical,,Sandy,21.0,1232.0,-22.7883,-48.1312,,LUC,14.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,34.15,1,4.349999999999998,14.597315436241603,2.0,-1.0,2.0
696,75,258,Brazil,Anhembi,Tropical,,Sandy,21.0,1232.0,-22.7883,-48.1312,,LUC,14.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,45.6,1,5.350000000000001,13.291925465838514,2.0,-1.0,2.0
699,75,259,Brazil,Anhembi,Tropical,,Sandy,21.0,1232.0,-22.7883,-48.1312,,LUC,15.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,64.85,1,1.8999999999999915,3.0182684670373177,2.0,-1.0,2.0
702,75,260,Brazil,Anhembi,Tropical,,Sandy,21.0,1232.0,-22.7883,-48.1312,,LUC,20.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,46.45,1,-47.95,-50.79449152542372,2.0,-1.0,2.0
705,75,261,Brazil,Itirapina,Tropical,,Sandy,20.0,1353.0,-22.2567,-47.817,,LUC,6.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,94.55,1,24.599999999999994,35.167977126518934,2.0,-1.0,2.0
708,75,262,Brazil,Itirapina,Tropical,,Sandy,20.0,1353.0,-22.2567,-47.817,,LUC,21.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,54.1,1,-15.850000000000001,-22.6590421729807,2.0,-1.0,2.0
711,75,263,Brazil,Itirapina,Tropical,,Sandy,20.0,1353.0,-22.2567,-47.817,,LUC,31.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,66.9,1,-3.049999999999997,-4.3602573266618965,2.0,-1.0,2.0
714,75,264,Brazil,Iacanga,Tropical,,Sandy,22.0,1153.0,-21.9198,-49.0009,,LUC,18.0,Sugarcane,grass,perennial_grass,1.0,0.0,40.0,20.0,,,,,,27.9,1,-12.700000000000003,-31.280788177339907,2.0,-1.0,2.0
